<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PGE,5,20220826,090000,8.19,8.19,8.082,8.082,34170,0
PGE,5,20220826,090500,8.112,8.12,8.024,8.058,52783,0
PGE,5,20220826,091000,8.024,8.072,8.024,8.056,31954,0
PGE,5,20220826,091500,8.058,8.082,8.05,8.058,28625,0
PGE,5,20220826,092000,8.042,8.058,7.998,7.998,68140,0
PGE,5,20220826,092500,7.998,8.064,7.998,8.046,26609,0
PGE,5,20220826,093000,8.04,8.04,7.998,8.024,34496,0
PGE,5,20220826,093500,8.022,8.022,8,8,8186,0
PGE,5,20220826,094000,8.012,8.012,7.964,7.964,53021,0
PGE,5,20220826,094500,7.962,7.992,7.96,7.988,17093,0
PGE,5,20220826,095000,7.98,7.986,7.958,7.958,7284,0
PGE,5,20220826,095500,7.956,7.976,7.932,7.938,17500,0
PGE,5,20220826,100000,7.932,7.95,7.92,7.95,33165,0
PGE,5,20220826,100500,7.96,7.96,7.95,7.95,3711,0
PGE,5,20220826,101000,7.94,7.95,7.934,7.95,6408,0
PGE,5,20220826,101500,7.94,7.966,7.934,7.95,18416,0
PGE,5,20220826,102000,7.95,7.956,7.94,7.952,3966,0
PGE,5,20220826,102500,7.952,7.952,7.94,7.95,2334,0
PGE,5,20220826,103000,7.94,7.962,7.94,7.954,40325,0
PGE,5,20220826,103500,7.94,7.95,7.92,7.94,13457,0
PGE,5,20220826,104000,7.93,7.94,7.85,7.85,42775,0
PGE,5,20220826,104500,7.852,7.884,7.852,7.874,32929,0
PGE,5,20220826,105000,7.88,7.88,7.856,7.87,15697,0
PGE,5,20220826,105500,7.87,7.872,7.86,7.87,5343,0
PGE,5,20220826,110000,7.87,7.898,7.86,7.896,31091,0
PGE,5,20220826,110500,7.894,7.936,7.894,7.934,9968,0
PGE,5,20220826,111000,7.936,7.974,7.916,7.946,7359,0
PGE,5,20220826,111500,7.97,7.974,7.96,7.974,3228,0
PGE,5,20220826,112000,7.974,8,7.974,7.99,25934,0
PGE,5,20220826,112500,7.99,7.99,7.974,7.984,5404,0
PGE,5,20220826,113000,7.962,7.978,7.952,7.978,2056,0
PGE,5,20220826,113500,7.956,7.976,7.956,7.956,925,0
PGE,5,20220826,114000,7.976,7.976,7.922,7.922,8830,0
PGE,5,20220826,114500,7.922,7.922,7.904,7.904,8252,0
PGE,5,20220826,115000,7.9,7.92,7.9,7.9,5981,0
PGE,5,20220826,115500,7.92,7.92,7.9,7.92,28255,0
PGE,5,20220826,120000,7.92,7.92,7.87,7.87,9258,0
PGE,5,20220826,120500,7.87,7.88,7.84,7.852,57482,0
PGE,5,20220826,121000,7.834,7.852,7.832,7.852,28047,0
PGE,5,20220826,121500,7.836,7.85,7.824,7.824,14440,0
PGE,5,20220826,122000,7.848,7.848,7.822,7.836,8667,0
PGE,5,20220826,122500,7.82,7.836,7.81,7.82,23908,0
PGE,5,20220826,123000,7.81,7.828,7.762,7.798,76196,0
PGE,5,20220826,123500,7.798,7.798,7.74,7.742,58695,0
PGE,5,20220826,124000,7.746,7.822,7.746,7.79,38171,0
PGE,5,20220826,124500,7.828,7.828,7.796,7.82,4932,0
PGE,5,20220826,125000,7.82,7.82,7.804,7.804,5648,0
PGE,5,20220826,125500,7.804,7.822,7.8,7.822,12341,0
PGE,5,20220826,130000,7.802,7.822,7.794,7.794,7271,0
PGE,5,20220826,130500,7.794,7.818,7.792,7.792,4238,0
PGE,5,20220826,131000,7.8,7.804,7.75,7.75,25245,0
PGE,5,20220826,131500,7.772,7.772,7.75,7.758,3703,0
PGE,5,20220826,132000,7.772,7.774,7.754,7.77,13107,0
PGE,5,20220826,132500,7.754,7.77,7.75,7.768,6709,0
PGE,5,20220826,133000,7.768,7.848,7.768,7.84,44149,0
PGE,5,20220826,133500,7.834,7.836,7.83,7.836,5102,0
PGE,5,20220826,134500,7.83,7.838,7.816,7.834,15516,0
PGE,5,20220826,135000,7.83,7.83,7.802,7.802,27337,0
PGE,5,20220826,135500,7.808,7.808,7.79,7.792,7890,0
PGE,5,20220826,140000,7.792,7.822,7.792,7.82,2942,0
PGE,5,20220826,140500,7.82,7.82,7.792,7.816,8412,0
PGE,5,20220826,141000,7.816,7.816,7.794,7.816,16052,0
PGE,5,20220826,141500,7.816,7.816,7.8,7.802,2473,0
PGE,5,20220826,142000,7.816,7.816,7.792,7.792,14901,0
PGE,5,20220826,142500,7.792,7.806,7.782,7.782,13134,0
PGE,5,20220826,143000,7.79,7.794,7.768,7.768,14500,0
PGE,5,20220826,143500,7.768,7.778,7.754,7.754,23105,0
PGE,5,20220826,144000,7.752,7.766,7.72,7.746,37981,0
PGE,5,20220826,144500,7.74,7.74,7.69,7.7,19851,0
PGE,5,20220826,145000,7.692,7.694,7.662,7.664,10136,0
PGE,5,20220826,145500,7.666,7.722,7.66,7.688,60356,0
PGE,5,20220826,150000,7.69,7.736,7.682,7.712,39231,0
PGE,5,20220826,150500,7.71,7.73,7.692,7.722,31763,0
PGE,5,20220826,151000,7.728,7.79,7.726,7.784,39919,0
PGE,5,20220826,151500,7.784,7.81,7.77,7.798,26278,0
PGE,5,20220826,152000,7.81,7.828,7.784,7.79,32196,0
PGE,5,20220826,152500,7.79,7.802,7.72,7.724,34999,0
PGE,5,20220826,153000,7.758,7.758,7.738,7.75,32691,0
PGE,5,20220826,153500,7.75,7.762,7.73,7.762,46852,0
PGE,5,20220826,154000,7.768,7.796,7.768,7.782,33509,0
PGE,5,20220826,154500,7.786,7.79,7.776,7.784,16631,0
PGE,5,20220826,155000,7.788,7.788,7.756,7.77,16519,0
PGE,5,20220826,155500,7.768,7.78,7.752,7.778,12999,0
PGE,5,20220826,160000,7.754,7.778,7.75,7.752,23466,0
PGE,5,20220826,160500,7.75,7.754,7.712,7.75,62791,0
PGE,5,20220826,161000,7.774,7.774,7.724,7.726,15781,0
PGE,5,20220826,161500,7.728,7.746,7.712,7.716,14859,0
PGE,5,20220826,162000,7.714,7.732,7.7,7.7,23375,0
PGE,5,20220826,162500,7.7,7.714,7.7,7.7,50504,0
PGE,5,20220826,163000,7.7,7.706,7.67,7.67,44863,0
PGE,5,20220826,163500,7.692,7.692,7.654,7.66,26071,0
PGE,5,20220826,164000,7.656,7.676,7.614,7.64,58788,0
PGE,5,20220826,164500,7.614,7.648,7.562,7.648,385290,0
PGE,5,20220829,090000,7.54,7.54,7.38,7.38,87697,0
PGE,5,20220829,090500,7.39,7.39,7.222,7.274,105033,0
PGE,5,20220829,091000,7.28,7.4,7.25,7.4,92030,0
PGE,5,20220829,091500,7.378,7.4,7.344,7.392,39287,0
PGE,5,20220829,092000,7.346,7.358,7.24,7.276,49892,0
PGE,5,20220829,092500,7.274,7.362,7.274,7.362,35036,0
PGE,5,20220829,093000,7.342,7.458,7.342,7.444,51458,0
PGE,5,20220829,093500,7.434,7.458,7.408,7.458,36701,0
PGE,5,20220829,094000,7.448,7.5,7.442,7.442,46795,0
PGE,5,20220829,094500,7.444,7.476,7.436,7.454,21387,0
PGE,5,20220829,095000,7.454,7.476,7.4,7.4,17057,0
PGE,5,20220829,095500,7.4,7.426,7.4,7.424,36313,0
PGE,5,20220829,100000,7.412,7.432,7.412,7.416,31456,0
PGE,5,20220829,100500,7.428,7.428,7.38,7.4,21295,0
PGE,5,20220829,101000,7.38,7.39,7.35,7.356,17619,0
PGE,5,20220829,101500,7.382,7.382,7.358,7.37,6327,0
PGE,5,20220829,102000,7.37,7.378,7.35,7.35,8194,0
PGE,5,20220829,102500,7.356,7.356,7.33,7.352,14401,0
PGE,5,20220829,103000,7.328,7.346,7.31,7.31,7234,0
PGE,5,20220829,103500,7.31,7.336,7.282,7.3,27701,0
PGE,5,20220829,104000,7.3,7.31,7.3,7.31,4607,0
PGE,5,20220829,104500,7.328,7.424,7.3,7.418,104837,0
PGE,5,20220829,105000,7.398,7.398,7.37,7.37,7858,0
PGE,5,20220829,105500,7.388,7.388,7.366,7.384,8523,0
PGE,5,20220829,110000,7.36,7.384,7.358,7.358,21312,0
PGE,5,20220829,110500,7.356,7.372,7.336,7.336,5713,0
PGE,5,20220829,111000,7.332,7.332,7.308,7.308,7018,0
PGE,5,20220829,111500,7.302,7.342,7.302,7.304,9606,0
PGE,5,20220829,112000,7.332,7.332,7.3,7.3,17750,0
PGE,5,20220829,112500,7.3,7.326,7.268,7.286,22538,0
PGE,5,20220829,113000,7.286,7.342,7.286,7.342,53025,0
PGE,5,20220829,113500,7.37,7.37,7.3,7.3,5438,0
PGE,5,20220829,114000,7.3,7.34,7.264,7.334,70031,0
PGE,5,20220829,114500,7.322,7.332,7.32,7.32,2040,0
PGE,5,20220829,115000,7.32,7.32,7.274,7.32,30136,0
PGE,5,20220829,115500,7.32,7.346,7.32,7.33,1957,0
PGE,5,20220829,120000,7.346,7.38,7.33,7.38,16080,0
PGE,5,20220829,120500,7.38,7.392,7.376,7.392,15954,0
PGE,5,20220829,121000,7.376,7.376,7.268,7.268,62401,0
PGE,5,20220829,121500,7.3,7.3,7.3,7.3,2915,0
PGE,5,20220829,122000,7.31,7.356,7.294,7.318,58923,0
PGE,5,20220829,122500,7.32,7.32,7.32,7.32,4133,0
PGE,5,20220829,123000,7.32,7.342,7.31,7.33,6580,0
PGE,5,20220829,123500,7.33,7.376,7.308,7.376,25260,0
PGE,5,20220829,124000,7.376,7.39,7.366,7.366,7628,0
PGE,5,20220829,124500,7.366,7.388,7.34,7.358,39927,0
PGE,5,20220829,125000,7.358,7.366,7.358,7.366,15152,0
PGE,5,20220829,125500,7.344,7.356,7.33,7.354,5828,0
PGE,5,20220829,130000,7.33,7.352,7.33,7.33,6226,0
PGE,5,20220829,130500,7.33,7.342,7.324,7.34,10327,0
PGE,5,20220829,131000,7.324,7.344,7.324,7.344,13031,0
PGE,5,20220829,131500,7.346,7.346,7.31,7.314,17341,0
PGE,5,20220829,132000,7.318,7.35,7.318,7.35,24968,0
PGE,5,20220829,132500,7.362,7.362,7.356,7.36,13116,0
PGE,5,20220829,133000,7.36,7.376,7.36,7.36,13988,0
PGE,5,20220829,133500,7.362,7.376,7.362,7.376,8352,0
PGE,5,20220829,134000,7.364,7.47,7.364,7.452,59991,0
PGE,5,20220829,134500,7.46,7.468,7.452,7.458,10861,0
PGE,5,20220829,135000,7.452,7.466,7.452,7.454,16552,0
PGE,5,20220829,135500,7.454,7.536,7.454,7.522,59917,0
PGE,5,20220829,140000,7.522,7.536,7.516,7.536,16176,0
PGE,5,20220829,140500,7.53,7.532,7.486,7.486,16862,0
PGE,5,20220829,141000,7.48,7.494,7.46,7.47,32294,0
PGE,5,20220829,141500,7.46,7.478,7.46,7.478,11483,0
PGE,5,20220829,142000,7.476,7.518,7.476,7.518,15130,0
PGE,5,20220829,142500,7.486,7.514,7.486,7.492,21607,0
PGE,5,20220829,143000,7.488,7.496,7.458,7.472,38677,0
PGE,5,20220829,143500,7.476,7.478,7.436,7.44,17534,0
PGE,5,20220829,144000,7.438,7.454,7.436,7.436,9407,0
PGE,5,20220829,144500,7.436,7.554,7.43,7.54,115930,0
PGE,5,20220829,145000,7.554,7.554,7.5,7.52,33109,0
PGE,5,20220829,145500,7.512,7.514,7.498,7.498,18742,0
PGE,5,20220829,150000,7.502,7.524,7.496,7.496,56960,0
PGE,5,20220829,150500,7.506,7.514,7.504,7.514,11684,0
PGE,5,20220829,151000,7.516,7.552,7.516,7.52,43581,0
PGE,5,20220829,151500,7.502,7.514,7.5,7.5,7196,0
PGE,5,20220829,152000,7.508,7.508,7.49,7.492,29698,0
PGE,5,20220829,152500,7.49,7.49,7.462,7.462,33807,0
PGE,5,20220829,153000,7.462,7.472,7.428,7.428,20247,0
PGE,5,20220829,153500,7.42,7.434,7.404,7.41,22185,0
PGE,5,20220829,154000,7.426,7.45,7.422,7.436,38755,0
PGE,5,20220829,154500,7.436,7.44,7.402,7.416,17840,0
PGE,5,20220829,155000,7.4,7.416,7.4,7.4,14596,0
PGE,5,20220829,155500,7.402,7.466,7.402,7.436,48667,0
PGE,5,20220829,160000,7.428,7.434,7.406,7.416,34332,0
PGE,5,20220829,160500,7.402,7.44,7.402,7.44,24183,0
PGE,5,20220829,161000,7.44,7.488,7.44,7.482,26722,0
PGE,5,20220829,161500,7.48,7.516,7.48,7.5,40848,0
PGE,5,20220829,162000,7.5,7.502,7.482,7.502,22107,0
PGE,5,20220829,162500,7.506,7.524,7.504,7.522,39586,0
PGE,5,20220829,163000,7.526,7.534,7.518,7.528,71610,0
PGE,5,20220829,163500,7.526,7.526,7.506,7.518,14198,0
PGE,5,20220829,164000,7.518,7.518,7.494,7.504,35862,0
PGE,5,20220829,164500,7.506,7.514,7.482,7.484,319882,0
PGE,5,20220830,090000,7.49,7.548,7.436,7.45,22416,0
PGE,5,20220830,090500,7.45,7.454,7.394,7.426,34556,0
PGE,5,20220830,091000,7.428,7.43,7.4,7.4,14105,0
PGE,5,20220830,091500,7.392,7.408,7.368,7.374,23893,0
PGE,5,20220830,092000,7.368,7.368,7.34,7.346,10430,0
PGE,5,20220830,092500,7.35,7.35,7.32,7.32,34826,0
PGE,5,20220830,093000,7.336,7.336,7.312,7.314,16983,0
PGE,5,20220830,093500,7.322,7.326,7.314,7.322,12888,0
PGE,5,20220830,094000,7.324,7.432,7.324,7.432,21721,0
PGE,5,20220830,094500,7.432,7.468,7.432,7.468,17584,0
PGE,5,20220830,095000,7.468,7.468,7.434,7.434,22383,0
PGE,5,20220830,095500,7.434,7.442,7.412,7.412,7129,0
PGE,5,20220830,100000,7.402,7.438,7.4,7.438,14956,0
PGE,5,20220830,100500,7.438,7.438,7.438,7.438,1763,0
PGE,5,20220830,101000,7.448,7.474,7.448,7.458,11298,0
PGE,5,20220830,102000,7.452,7.452,7.414,7.414,7902,0
PGE,5,20220830,102500,7.41,7.41,7.406,7.41,9561,0
PGE,5,20220830,103000,7.424,7.434,7.424,7.434,6645,0
PGE,5,20220830,103500,7.43,7.43,7.406,7.406,14935,0
PGE,5,20220830,104000,7.408,7.42,7.406,7.408,19341,0
PGE,5,20220830,104500,7.406,7.412,7.406,7.406,22119,0
PGE,5,20220830,105000,7.406,7.458,7.406,7.458,52773,0
PGE,5,20220830,105500,7.464,7.474,7.464,7.474,561,0
PGE,5,20220830,110000,7.474,7.474,7.45,7.468,9675,0
PGE,5,20220830,110500,7.45,7.45,7.45,7.45,100,0
PGE,5,20220830,111000,7.468,7.468,7.412,7.412,10979,0
PGE,5,20220830,111500,7.426,7.426,7.406,7.406,7647,0
PGE,5,20220830,112000,7.412,7.418,7.396,7.396,39230,0
PGE,5,20220830,112500,7.4,7.4,7.36,7.36,3637,0
PGE,5,20220830,113000,7.39,7.39,7.368,7.37,6594,0
PGE,5,20220830,113500,7.37,7.39,7.37,7.39,4735,0
PGE,5,20220830,114000,7.386,7.386,7.386,7.386,300,0
PGE,5,20220830,114500,7.388,7.42,7.388,7.42,9560,0
PGE,5,20220830,115500,7.416,7.416,7.408,7.408,3255,0
PGE,5,20220830,120000,7.402,7.402,7.392,7.392,6320,0
PGE,5,20220830,121000,7.406,7.422,7.406,7.422,22466,0
PGE,5,20220830,121500,7.44,7.44,7.426,7.426,7760,0
PGE,5,20220830,122000,7.42,7.43,7.42,7.42,3443,0
PGE,5,20220830,122500,7.416,7.42,7.412,7.42,1804,0
PGE,5,20220830,123000,7.42,7.444,7.42,7.444,17797,0
PGE,5,20220830,123500,7.45,7.46,7.448,7.46,20383,0
PGE,5,20220830,124000,7.46,7.49,7.46,7.49,19567,0
PGE,5,20220830,124500,7.488,7.5,7.488,7.5,12206,0
PGE,5,20220830,125000,7.486,7.53,7.486,7.53,21678,0
PGE,5,20220830,125500,7.534,7.546,7.52,7.53,4840,0
PGE,5,20220830,130000,7.54,7.54,7.52,7.52,5222,0
PGE,5,20220830,131000,7.534,7.534,7.534,7.534,17,0
PGE,5,20220830,131500,7.534,7.534,7.514,7.526,15954,0
PGE,5,20220830,132000,7.524,7.53,7.514,7.524,10528,0
PGE,5,20220830,132500,7.526,7.542,7.526,7.542,15727,0
PGE,5,20220830,133000,7.534,7.538,7.518,7.518,9968,0
PGE,5,20220830,133500,7.516,7.554,7.514,7.55,22164,0
PGE,5,20220830,134000,7.554,7.564,7.55,7.562,8331,0
PGE,5,20220830,134500,7.564,7.602,7.564,7.594,14130,0
PGE,5,20220830,135000,7.596,7.596,7.56,7.56,23524,0
PGE,5,20220830,135500,7.56,7.56,7.542,7.542,4358,0
PGE,5,20220830,140000,7.554,7.554,7.526,7.53,6824,0
PGE,5,20220830,140500,7.53,7.53,7.522,7.522,3264,0
PGE,5,20220830,141000,7.536,7.546,7.536,7.546,12708,0
PGE,5,20220830,141500,7.546,7.546,7.536,7.536,5873,0
PGE,5,20220830,142000,7.538,7.538,7.522,7.528,4689,0
PGE,5,20220830,142500,7.528,7.528,7.48,7.48,22625,0
PGE,5,20220830,143000,7.47,7.47,7.46,7.46,14594,0
PGE,5,20220830,143500,7.46,7.474,7.44,7.448,6215,0
PGE,5,20220830,144000,7.468,7.47,7.424,7.424,41210,0
PGE,5,20220830,144500,7.42,7.44,7.408,7.42,36206,0
PGE,5,20220830,145000,7.418,7.418,7.38,7.38,34350,0
PGE,5,20220830,145500,7.4,7.414,7.38,7.4,30508,0
PGE,5,20220830,150000,7.4,7.41,7.384,7.386,13338,0
PGE,5,20220830,150500,7.4,7.4,7.362,7.362,30121,0
PGE,5,20220830,151000,7.362,7.374,7.362,7.374,66937,0
PGE,5,20220830,151500,7.376,7.376,7.362,7.362,12603,0
PGE,5,20220830,152000,7.362,7.364,7.354,7.354,11399,0
PGE,5,20220830,152500,7.354,7.354,7.32,7.322,21478,0
PGE,5,20220830,153000,7.322,7.346,7.32,7.346,21892,0
PGE,5,20220830,153500,7.35,7.364,7.344,7.352,28418,0
PGE,5,20220830,154000,7.362,7.362,7.302,7.314,69324,0
PGE,5,20220830,154500,7.318,7.33,7.288,7.296,82482,0
PGE,5,20220830,155000,7.29,7.296,7.27,7.288,47345,0
PGE,5,20220830,155500,7.294,7.294,7.29,7.29,3776,0
PGE,5,20220830,160000,7.292,7.296,7.25,7.28,69029,0
PGE,5,20220830,160500,7.276,7.296,7.25,7.29,25062,0
PGE,5,20220830,161000,7.29,7.29,7.26,7.286,40486,0
PGE,5,20220830,161500,7.28,7.318,7.26,7.266,105740,0
PGE,5,20220830,162000,7.266,7.268,7.23,7.25,55304,0
PGE,5,20220830,162500,7.272,7.272,7.204,7.204,26957,0
PGE,5,20220830,163000,7.202,7.26,7.2,7.22,142584,0
PGE,5,20220830,163500,7.222,7.236,7.2,7.204,44132,0
PGE,5,20220830,164000,7.202,7.242,7.196,7.2,128069,0
PGE,5,20220830,164500,7.2,7.214,7.196,7.2,274824,0
PGE,5,20220831,090000,7.294,7.32,7.272,7.32,39594,0
PGE,5,20220831,090500,7.302,7.302,7.23,7.23,15991,0
PGE,5,20220831,091000,7.234,7.25,7.208,7.25,13493,0
PGE,5,20220831,091500,7.25,7.28,7.25,7.27,3546,0
PGE,5,20220831,092000,7.27,7.28,7.24,7.24,6648,0
PGE,5,20220831,092500,7.252,7.252,7.23,7.242,7661,0
PGE,5,20220831,093000,7.24,7.24,7.16,7.194,25350,0
PGE,5,20220831,093500,7.162,7.184,7.08,7.126,115943,0
PGE,5,20220831,094000,7.126,7.182,7.126,7.172,23054,0
PGE,5,20220831,094500,7.172,7.264,7.172,7.25,20066,0
PGE,5,20220831,095000,7.23,7.248,7.226,7.24,4326,0
PGE,5,20220831,095500,7.214,7.254,7.214,7.242,8015,0
PGE,5,20220831,100000,7.25,7.262,7.232,7.244,20521,0
PGE,5,20220831,100500,7.232,7.238,7.216,7.216,99271,0
PGE,5,20220831,101000,7.216,7.22,7.196,7.196,187799,0
PGE,5,20220831,101500,7.196,7.248,7.186,7.21,97893,0
PGE,5,20220831,102000,7.22,7.22,7.152,7.152,14119,0
PGE,5,20220831,102500,7.15,7.164,7.12,7.162,13174,0
PGE,5,20220831,103000,7.17,7.212,7.17,7.174,19005,0
PGE,5,20220831,103500,7.176,7.206,7.17,7.204,9625,0
PGE,5,20220831,104000,7.212,7.262,7.21,7.262,26802,0
PGE,5,20220831,104500,7.242,7.254,7.204,7.216,42210,0
PGE,5,20220831,105000,7.216,7.26,7.216,7.258,27735,0
PGE,5,20220831,105500,7.254,7.254,7.234,7.242,19041,0
PGE,5,20220831,110000,7.254,7.254,7.222,7.23,12616,0
PGE,5,20220831,110500,7.216,7.216,7.216,7.216,30,0
PGE,5,20220831,111000,7.202,7.216,7.196,7.204,39489,0
PGE,5,20220831,111500,7.22,7.254,7.208,7.25,27553,0
PGE,5,20220831,112000,7.248,7.27,7.246,7.27,15828,0
PGE,5,20220831,112500,7.268,7.282,7.25,7.25,32240,0
PGE,5,20220831,113000,7.25,7.26,7.24,7.24,10714,0
PGE,5,20220831,113500,7.246,7.292,7.244,7.292,15936,0
PGE,5,20220831,114000,7.252,7.278,7.252,7.278,1150,0
PGE,5,20220831,114500,7.274,7.282,7.234,7.25,23058,0
PGE,5,20220831,115000,7.254,7.254,7.232,7.24,7244,0
PGE,5,20220831,115500,7.228,7.242,7.228,7.23,16182,0
PGE,5,20220831,120000,7.266,7.266,7.238,7.244,10188,0
PGE,5,20220831,120500,7.25,7.268,7.25,7.252,9028,0
PGE,5,20220831,121000,7.27,7.276,7.25,7.276,1520,0
PGE,5,20220831,121500,7.27,7.27,7.25,7.25,7779,0
PGE,5,20220831,122500,7.22,7.244,7.22,7.23,20725,0
PGE,5,20220831,123000,7.23,7.23,7.22,7.224,5997,0
PGE,5,20220831,123500,7.21,7.216,7.198,7.216,33971,0
PGE,5,20220831,124000,7.204,7.216,7.2,7.21,11016,0
PGE,5,20220831,124500,7.21,7.214,7.198,7.208,21529,0
PGE,5,20220831,125000,7.21,7.222,7.208,7.22,8805,0
PGE,5,20220831,125500,7.22,7.22,7.208,7.21,6176,0
PGE,5,20220831,130000,7.212,7.23,7.198,7.212,44068,0
PGE,5,20220831,130500,7.216,7.218,7.2,7.2,7640,0
PGE,5,20220831,131000,7.206,7.21,7.2,7.204,6681,0
PGE,5,20220831,131500,7.212,7.214,7.212,7.214,3304,0
PGE,5,20220831,132000,7.214,7.214,7.21,7.21,4389,0
PGE,5,20220831,132500,7.206,7.21,7.206,7.21,3253,0
PGE,5,20220831,133000,7.21,7.22,7.21,7.22,7566,0
PGE,5,20220831,133500,7.22,7.22,7.202,7.202,15109,0
PGE,5,20220831,134000,7.2,7.21,7.2,7.206,22019,0
PGE,5,20220831,134500,7.208,7.214,7.208,7.21,30177,0
PGE,5,20220831,135000,7.21,7.252,7.21,7.25,21000,0
PGE,5,20220831,135500,7.258,7.272,7.258,7.262,16620,0
PGE,5,20220831,140000,7.258,7.258,7.252,7.252,510,0
