<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PGN,5,20220826,090000,5.93,5.96,5.916,5.916,81366,0
PGN,5,20220826,090500,5.91,5.922,5.898,5.92,100620,0
PGN,5,20220826,091000,5.934,5.968,5.934,5.968,42449,0
PGN,5,20220826,091500,5.95,5.95,5.95,5.95,200,0
PGN,5,20220826,092000,5.95,5.95,5.95,5.95,11464,0
PGN,5,20220826,092500,5.95,5.95,5.95,5.95,2191,0
PGN,5,20220826,093000,5.95,5.97,5.95,5.97,75966,0
PGN,5,20220826,093500,5.97,5.97,5.97,5.97,100,0
PGN,5,20220826,094500,5.966,5.966,5.93,5.93,21940,0
PGN,5,20220826,095000,5.92,5.92,5.902,5.906,7490,0
PGN,5,20220826,095500,5.904,5.904,5.862,5.862,55929,0
PGN,5,20220826,100000,5.86,5.87,5.858,5.868,41028,0
PGN,5,20220826,100500,5.868,5.872,5.864,5.866,17706,0
PGN,5,20220826,101000,5.868,5.878,5.868,5.878,22635,0
PGN,5,20220826,101500,5.872,5.878,5.842,5.842,65370,0
PGN,5,20220826,102000,5.844,5.848,5.83,5.838,18596,0
PGN,5,20220826,102500,5.826,5.826,5.824,5.824,1800,0
PGN,5,20220826,103000,5.824,5.84,5.816,5.84,46157,0
PGN,5,20220826,103500,5.83,5.83,5.776,5.78,270406,0
PGN,5,20220826,104000,5.78,5.786,5.766,5.782,207827,0
PGN,5,20220826,104500,5.782,5.786,5.778,5.784,1101637,0
PGN,5,20220826,105000,5.782,5.79,5.778,5.79,277252,0
PGN,5,20220826,105500,5.794,5.86,5.794,5.86,44147,0
PGN,5,20220826,110000,5.86,5.86,5.828,5.828,27580,0
PGN,5,20220826,110500,5.842,5.85,5.83,5.83,8036,0
PGN,5,20220826,111000,5.83,5.842,5.83,5.83,3872,0
PGN,5,20220826,111500,5.83,5.834,5.822,5.834,36094,0
PGN,5,20220826,112000,5.824,5.83,5.818,5.82,16569,0
PGN,5,20220826,112500,5.816,5.816,5.8,5.81,28299,0
PGN,5,20220826,113000,5.802,5.81,5.792,5.81,44633,0
PGN,5,20220826,113500,5.82,5.822,5.81,5.82,14123,0
PGN,5,20220826,114000,5.82,5.82,5.82,5.82,5779,0
PGN,5,20220826,114500,5.82,5.83,5.808,5.81,25208,0
PGN,5,20220826,115000,5.808,5.81,5.806,5.806,14739,0
PGN,5,20220826,115500,5.806,5.82,5.792,5.8,64973,0
PGN,5,20220826,120000,5.802,5.81,5.8,5.81,6129,0
PGN,5,20220826,120500,5.804,5.804,5.792,5.796,14414,0
PGN,5,20220826,121000,5.796,5.8,5.796,5.8,24508,0
PGN,5,20220826,121500,5.8,5.808,5.8,5.808,10650,0
PGN,5,20220826,122000,5.808,5.81,5.804,5.81,14414,0
PGN,5,20220826,122500,5.81,5.82,5.808,5.808,12982,0
PGN,5,20220826,123000,5.808,5.818,5.808,5.818,1992,0
PGN,5,20220826,123500,5.818,5.818,5.818,5.818,5000,0
PGN,5,20220826,124000,5.818,5.818,5.798,5.798,48798,0
PGN,5,20220826,124500,5.798,5.798,5.792,5.798,2815,0
PGN,5,20220826,125000,5.794,5.798,5.782,5.788,29752,0
PGN,5,20220826,125500,5.782,5.794,5.782,5.794,18926,0
PGN,5,20220826,130000,5.792,5.792,5.786,5.788,14515,0
PGN,5,20220826,130500,5.788,5.788,5.786,5.788,1320,0
PGN,5,20220826,131000,5.788,5.8,5.778,5.784,1403953,0
PGN,5,20220826,131500,5.788,5.792,5.78,5.78,63220,0
